E05B67/06 锁;锁;其附件;挂锁;及其部件;锁扣;锁扣的排列;
E01B29/00 道路、铁路的建筑;铁路轨道;铺设各种铁路的机器;铺设轨道;
E04G5/00 固定建筑物;建筑物;脚手架;脚手架的组件或附件;
E04G21/12 建筑物;建筑材料的现场处理;建筑材料或建筑构件在现场的制备;预应力;
E02F3/04 固定建筑物;疏浚;挖掘;疏浚;挖掘机;疏浚机;机械驱动的;
E02B1/02 水利工程;基础;水利工程;一般水利工程的设备、装置或方法;水工模型;
E04D3/35 建筑物;屋面覆盖层;屋面施工工具;由两层或更多层材料构成的屋面板;
E01B21/02 道路、铁路或桥梁的建筑;铁路轨道;铁路轨道附件;轨道上部结构;特殊支撑设备;
E04B5/00 固定建筑物;建筑物;楼板;楼板;用于隔绝的楼板结构;
E01F7/00 道路、铁路的建筑;附属工程，防雪栅等的修建;防雪、防冰冻的设备;
E01F7/00 道路、铁路的建筑;附属工程，防雪栅等的修建;防雪、防冰冻的设备;
E04G1/00 固定建筑物;建筑物;脚手架;施工用具;脚手架;
E21C27/02 采矿;采矿或采石;使矿物完全落离矿层的机械;单靠掏槽的;
E21B11/00 土层或岩石的钻进;采矿;土层或岩石的钻进;其他钻具;
F16C19/44 机械工程;工程元件或部件;轴;轴承;专用于旋转运动的滚动接触轴承;滚针轴承;滚针轴承;
F02B13/10 热气或燃烧生成物的发动机装置;以利用辅助流体把液体燃料输入汽缸为特征的发动机;利用特殊的辅助流体，如蒸汽;
F01P3/12 一般机器或发动机;一般机器或发动机的冷却;液体冷却;冷却发动机或机器的其他零件的装置;
F04B43/02 液体变容式机械;泵;具有柔性工作元件的机械、泵;具有板状柔性件，例如隔膜;
F01P7/02 一般机器或发动机;一般机器或发动机的冷却;冷却剂流量的控制;用冷却的空气作冷却剂;
F16C43/02 机械工程;工程元件或部件;转动工程元件;轴承;装配轴承;装配滑动接触轴承;
F16C43/04 机械工程;工程元件或部件;转动工程元件;轴承;装配轴承;装配滚动接触轴承;
F21L23/00 照明;照明;发光装置或其系统;矿工非电手灯;
F42C14/08 武器;弹药;爆破;弹药引信;引信;用于地雷的;
F42C14/04 武器;弹药;爆破;弹药引信;引信;用于鱼雷、水雷或深水炸弹的;
F16D17/00 机械工程;工程元件或部件;传送旋转运动的联轴器;离合器;离合器的传动;
F16K15/00 机械工程;工程元件或部件;阀;单向阀;
F21W106/00 机械工程;照明;与照明装置或系统的用途;车内照明装置;
F21W106/00 机械工程;照明;与照明装置或系统的用途;车内照明装置;
F21W106/00 机械工程;照明;与照明装置或系统的用途;车内照明装置;
F16B35/00 工程元件或部件;紧固或固定构件，螺栓;连接件或连接;螺栓;
F15D1/00 流体压力执行机构;流体动力学;影响流体流动;
F16H55/02 机械工程;工程元件或部件;传动装置;用于传动机构的蜗杆;蜗杆;
F16H55/17 机械工程;工程元件或部件;传动装置;用于传送运动的带有齿的元件;带有齿的轮;
F16H55/32 机械工程;工程元件或部件;传动装置;用于传送运动的摩擦面的元件;摩擦元件;
F02K3/00 机械工程;燃烧发动机;喷气推进装置;包括燃气轮机驱动压气机;
F02K3/00 燃烧发动机;热气或燃烧生成物的发动机装置;喷气推进装置;涵道风扇的装置;
F24D10/00 加热;供热;住宅供热系统或区域供热系统，例如集中供热系统;地区供暖系统;
F16D43/00 机械工程;传送旋转运动的联轴器;离合器;内部控制的自动离合器;
F24D9/02 加热;供热;住宅热水供应系统;集中供热系统;热水和蒸汽系统;
F01B13/00 一般机器或发动机;活塞往复运动的往复活塞式机器或发动机;
F02G3/02 燃烧发动机;热气或燃烧产物的变容式发动机装置;有往复式活塞发动机;
F16G1/00 机械工程;工程元件或部件;主要用于传动的带、缆或绳;传动带;
F02P23/00 机械工程;燃烧发动机;内燃机点火;其他点火;
F23B10/00 燃烧设备;只用固体燃料的燃烧设备;燃烧设备;
F22B7/16 机械工程;蒸汽的发生;蒸汽锅炉;炉管型蒸汽锅炉;其组成件;所用附件;
F42B22/02 武器;弹药;爆炸装药;弹药;水雷;触发水雷;
F27D3/00 炉;烘烤炉;通用的炉的零部件或附件;装料;炉料控制;
F41F1/00 武器;爆破;武器;例如加农炮;发射装置，加农炮;
F42D3/00 爆破;爆破;爆破技术的特定应用;
F24D15/00 加热;供热;住宅供热系统或区域供热系统;住宅或区域供热系统;
F27B5/00 炉;一般馏炉或蒸馏炉;开式烧结设备或类似设备;干馏炉;
F42C19/08 武器;弹药;弹药引信;引信的零部件;雷管;
F42C19/08 武器;弹药;弹药引信;引信的零部件;底火;
F22B37/00 机械工程;蒸汽的发生;蒸汽锅炉;蒸汽锅炉的组成件或零部件;
G21D3/04 核物理;核工程;核发电厂;核发电厂的控制;安全装置;
G06F16/20 计算;推算;计数;电数字数据处理;数据库结构;结构化数据，例如关系型数据;
G06C1/00 计算;推算;计数;一切计算均用机械方式实现的数字计算机;计算器具，袖珍加法器;
G01C17/34 测量;测量距离、水准或者方位;罗盘;导航或测绘用的确定真北或磁北的装置;天文罗盘;
G06F8/20 计算;推算;计数;电数字数据处理;软件工程设计;软件设计;
G01K15/00 测量;温度测量;热量测量;温度计的测试或校准;
G21C1/04 核物理;核工程;核反应堆;反应堆类型;热反应堆;
