TV131.61+1 水利;工程;基础;科学;水力学;水工;模型;试验;正态;
TU56+4.7 建筑;科学;材料;涂料;装饰;屋面;
U213.2+14 铁路;运输;线路;工程;构造;轨道;结构;理论;设计;支撑;装置;
TU756.4+4 建筑;科学;施工;各种;预制;构件;板;楼板;
[U213.1+53] 铁路;运输;线路;工程;路基;加固;防护;防雪;防冰冻;设备;
U216.41+2 铁路;运输;线路;工程;养护;维修;除雪;防雪;防冰冻;设备;
TU731.2 建筑;科学;施工;设备;现场;脚手架;
TD236 矿业;工程;矿山;设计;建设;凿岩;爆破;掏槽;方法;
P634.4+2 地质;矿产;普查;勘探;钻探;工程;钻具;工具;钻进;
TH133.33+3 工业;技术;机械;仪表;;零件;传动;装置;转动;机件;轴承;滚动;滚针;
U464.9+1 交通;运输;公路;汽车;工程;发动机;其他;蒸汽;
U464.238 交通;运输;公路;汽车;工程;发动机;旋转;活塞式;部件;冷却;系统;
TH323 工业;技术;机械;仪表;泵;容积;隔膜;
V233.5+4 航空;发动机;附件;系统;冷却;空气;喷气;
TH133.31+3 机械;仪表;工业;零件;传动装置;转动;机件;轴承;滑动;塑料;滑动轴承;
TH133.33+4 机械;仪表;工业;零件;传动装置;转动;机件;轴承;滚动;高速;滚动轴承;
TM923.54 电气化;电能;应用;电气;照明;各种;用途;灯;矿灯;
TJ43+1.2 武器;工业;弹药;引信;火工品;用;地雷;
TJ43+1.7 武器;工业;弹药;引信;火工品;用;水中;兵器;
TH133.4 工业;技术;机械;仪表;零件;传动装置;转动;机件;联轴器;离合器;
TH138.52+3 机械;零件;传动装置;控制阀;方向阀;
U270.38+1 车辆;工程;车体;构造;设备;电气;照明;
U260.4+1 机车;工程;一般性;问题;设备;材料;电气;照明;
U463.65+1 汽车;工程;结构;部件;照明;信号;系统;照明灯;
U213.5+2 铁路;运输;线路;工程;构造;钢轨;联接;扣件;螺栓;
O363.2 力学;流体;物理;化学;动力学;界面;毛细;流动;
TH132.44 机械;工业;零件;传动;装置;机构;啮合;蜗轮;蜗杆;
TH132.429 机械;工业;零件;传动;装置;机构;啮合;齿轮;其他;
TH132.2+2 机械;工业;零件;传动;装置;机构;摩擦;分合;
TK474.8 工业;技术;能源;动力;工程;内燃机;燃气;轮机;透平;压气机;部分;
V211.45 航空;基础;理论;试验;空气;动力学;飞机;涵道;风扇;
TU833+.1 房屋;建筑;设备;空气;调节;采暖;通风;供热;系统;
TH133.4 机械;仪表;工业;零件;传动;装置;转动;机件;联轴器;离合器;
TU822+.1 建筑;科学;房屋;设备;卫生;技术;热水;供应;系统;
U464.17 汽车;发动机;各种;类型;往复式;
U464.177 汽车;发动机;往复式;稀薄;燃烧;
TH132.3+1 机械;仪表;工业;零件;传动;装置;机构;挠性;材料;传动带;
TK413.9 能源;动力;工程;内燃机;汽油机;构造;点火;系统;
TQ052.7 化工;机械;仪器;设备;化学;反应;过程;燃烧;
TK223.1 工业;技术;能源;动力;工程;蒸汽;动力工;程;锅炉;构造;构件;
TJ61+1.1 武器;工业;水中;兵器;水雷;各种;触发;
TF734.2 冶金;工业;平炉;炼钢;操作;技术;开炉;装料;
E924.4 军事;技术;军用;器材;炮兵;武器;加农炮;
TB41 一般;工业;技术;通用;设备;爆破;
TU833+.1 房屋;建筑;设备;空气;调节;采暖;供热;系统;
TQ523.1 炼焦;化学;工业;煤;低温;干馏;中温;干馏炉;设备;
TJ45+2.3 武器;工业;弹药;引信;火工品;雷管;电雷管;
TJ45+1.2 武器;工业;弹药;引信;火工品;火帽;底火;
TK223.1 能源;动力;工程;蒸汽;锅炉;构造;构件;
TM623.8 电工;技术;发电;发电厂;核电厂;核电站;环境;安全;
TP392 自动化;技术;计算;计算机;应用;各种;专用;数据库;
TP323+.2 自动化;技术;计算;计算机;一般;计算器;电子;袖珍;
V241.61+3 航空;仪表;设备;飞行;控制;导航;传感器;航向;天文;罗盘;
TP311.5 自动化;技术;计算;计算机;程序;设计;软件;工程;
TH811 机械;仪表;工业;仪器;热工量;测量;温度;
TL64 工业;技术;原子能;受控;热核反应;热核反应堆;
P111.47 天文学;天文;观测;设备;观测资料;仪器;天体;物理;干涉仪;
TP332.2 计算机;技术;计算技术;电子;数字;运算器;控制器;CPU;
TP342+.2 计算机;技术;计算技术;电子;模拟;运算;放大器;控制器;运算器;
TP334.2 计算机;技术;计算;计算机技术;电子;数字;外部;设备;输入;
TH85+1 机械;仪表;工业;仪器;显示;直接;指示仪;
{TF345.04} 炼钢;机械;生产;自动化;炉料;钢水;自动;称量;
TL816+.3 粒子;探测;技术;辐射;中子;其他;探测器;
O536 数理;科学;化学;物理学;等离子体;辐射;测量;
TB921 一般;工业;技术;计量学;几何量;计量;长度;
TB934 工业;技术;一般;计量学;力学;计量;速度;加速度;
TQ584+.2 化学;工业;磁性;记录;材料;原材料;辅助;物料;载体;
TM503+.3 电工;技术;电器;一般性;问题;结构;双;金属片;
O329 数理;科学;化学;力学;振动;理论;测量;技术;
P111.6 天文学;天文;观测;设备;资料;仪器;天象仪;
TH74 工业;技术;机械;仪表;仪器;光学;
TB854+.22 摄影;技术;机具;设备;洗印;印片机;
TL342 原子能;技术;核反应堆;工程;反应堆;材料;性能;慢化剂;反射层;
TM714.2 电工;技术;输;配电;工程;电力;网;系统;负荷;分析;电压;调整;
TB853.3 工业;技术;摄影;机具;设备;特技;装置;
TB852.1 工业;技术;摄影;机具;设备;照相;复制;照相机;
TS953.33 轻工业;手工业;乐器;制造;西乐器;弓弦;
TN752.8 电子;电路;振荡;技术;振荡器;机械;
TM933.3+1 电气;测量;技术;仪器;电;数量;仪表;功率;因数;因数表;
P182.3+4 天文学;太阳系;太阳;物理学;;光谱;分光;光度;测量;
TN943.5 无线电;电子学;电信;技术;电视;信号;传输;光波;传送;系统;光;放大器;
